advisor_id,publication_candidate_id,title,doi,year,candidate_source,candidate_author_id,author_name,affiliation,orcid,identity_status,identity_evidence,counterevidence,decision,adopted_evidence_id,duplicate_group,version_relation,review_required,notes
chen-shuhua,E2,Research progress of endothelial-mesenchymal transition in diabetic kidney disease.,10.1111/jcmm.17356,2022,PubMed PMID 35560773; Crossref/DOI when DOI exists; official profile for E2-E6,ORCID:0000-0003-2373-3402,Shuhua Chen,"Department of Biochemistry and Molecular Biology, School of Life Sciences, Central South University",0000-0003-2373-3402,verified,Official profile representative-publication list; DOI and PubMed author metadata agree.,None found in reviewed records,adopted,E2,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E3,Glucolipotoxicity induces endothelial cell dysfunction by activating autophagy and inhibiting autophagic flow.,10.1177/14791641221102513,2022,PubMed PMID 35549572; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences, Central South University",,verified,Official profile representative-publication list; DOI and PubMed author metadata agree.,None found in reviewed records,adopted,E3,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E4,Vildagliptin improves high glucose-induced endothelial mitochondrial dysfunction via inhibiting mitochondrial fission.,10.1111/jcmm.13975,2019,PubMed PMID 30444033; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences, Central South University",,verified,Official profile representative-publication list; DOI and PubMed author metadata agree.,None found in reviewed records,adopted,E4,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E5,S1PR2 antagonist ameliorate high glucose-induced fission and dysfunction of mitochondria in HRGECs via regulating ROCK1.,10.1186/s12882-019-1323-0,2019,PubMed PMID 30999892; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Official profile representative-publication list; DOI and PubMed author metadata agree.,None found in reviewed records,adopted,E5,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E6,NK1.1+ cells promote sustained tissue injury and inflammation after trauma with hemorrhagic shock.,10.1189/jlb.3a0716-333r,2017,PubMed PMID 28515228; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences, Central South University",,verified,Official profile representative-publication list; DOI and PubMed author metadata agree.,None found in reviewed records,adopted,E6,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E7,Quercetin Alleviates Endothelial Dysfunction in Atherosclerosis by Inhibiting Ferroptosis Through PACS2/HMOX-1 Pathway.,10.1142/s0192415x26500229,2026,PubMed PMID 41692703; Crossref/DOI when DOI exists; official profile for E2-E6,ORCID:0000-0003-2373-3402,Shuhua Chen,Central South University,0000-0003-2373-3402,verified,"Exact ORCID, current department, topic, and coauthor network agree across DOI and PubMed metadata.",None found in reviewed records,adopted,E7,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E8,PACS2 deficiency ameliorates hepatic steatosis via inhibition of the JNK signaling pathway in diabetic mice.,10.1016/j.bcp.2026.117794,2026,PubMed PMID 41687826; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry and Molecular Biology, School of Life Sciences, Central South University",,verified,Exact official email and current department in PubMed metadata.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E9,Macrophage FTO deficiency accelerates atherosclerosis via PACS2-mediated activation of the PPARγ lipid signaling pathway.,10.1186/s12967-026-08076-3,2026,PubMed PMID 41917949; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,"Current department, vascular topic, and established PACS2/coauthor cluster agree.",None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E10,Association of the atherogenic index of plasma combined with obesity indices with cardiovascular disease and mortality.,10.1186/s12944-026-02932-3,2026,PubMed PMID 41851760; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences, Central South University",,verified,"Current department, vascular topic, and established coauthor cluster agree.",None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E11,PACS2 initiates foam cell formation in macrophages through the ROS-PPARγ-CD36 positive feedback loop.,10.1016/j.bcp.2025.117164,2025,PubMed PMID 40653022; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Current department and established PACS2/vascular coauthor cluster agree.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E12,SRSF3 Inhibits High Glucose and Palmitic Acid-Induced Cardiomyocyte Apoptosis Through the PI3K/AKT and NF-κB Pathways.,10.1002/jbt.70395,2025,PubMed PMID 40631627; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Current department and established high-glucose/cardiovascular coauthor cluster agree.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E13,S1PR2 Mediates Smooth Muscle Cell Proliferation and Endothelial Cell Permeability via Akt/mTOR and RhoA/ROCK1 in Atherosclerosis.,10.1002/jbt.70351,2025,PubMed PMID 40495705; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Current department and established S1PR2/vascular coauthor cluster agree.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
